"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.quora.com/profile/Leon-International-1","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","88","0.035","",""
"https://images.unsplash.com/photo-1542393278-f07bd0fb5d7c?q=80&w=1000&auto=format&fit=crop","text/html,text/html","404","Not Found","Non-Indexable","Client Error","0","0.294","",""
"https://images.unsplash.com/photo-1621611135767-f2fb7079d2bf?q=80&w=1000&auto=format&fit=crop","text/html,text/html","404","Not Found","Non-Indexable","Client Error","0","0.498","",""
"https://images.unsplash.com/photo-1533090368676-1fd25485ea2c?q=80&w=1000&auto=format&fit=crop","text/html,text/html","404","Not Found","Non-Indexable","Client Error","0","0.414","",""
