"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://leon-international.com/electrical/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/header/nav/div[1]/a/div/img","Navigation","HTML","","",""
"Image","https://leon-international.com/electrical/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/div[2]/div[2]/div[1]/a/div/img","Content","HTML","","",""
"Image","https://leon-international.com/electrical/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/footer/div/div[1]/div[1]/a/div/img","Footer","HTML","","",""
"Image","https://leon-international.com/ultrasonic-gauging/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/header/nav/div[1]/a/div/img","Navigation","HTML","","",""
"Image","https://leon-international.com/ultrasonic-gauging/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/div[2]/div[2]/div[1]/a/div/img","Content","HTML","","",""
"Image","https://leon-international.com/ultrasonic-gauging/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/footer/div/div[1]/div[1]/a/div/img","Footer","HTML","","",""
"Image","https://leon-international.com/fabrication/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/header/nav/div[1]/a/div/img","Navigation","HTML","","",""
"Image","https://leon-international.com/fabrication/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/div[2]/div[2]/div[1]/a/div/img","Content","HTML","","",""
"Image","https://leon-international.com/fabrication/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/footer/div/div[1]/div[1]/a/div/img","Footer","HTML","","",""
"Image","https://leon-international.com/custom-parts-fabrication/","https://leon-international.com/_next/image/?url=%2Fimages%2Flogo-transparent.png&w=3840&q=75","Leon International Logo","23","Root-Relative","//body/header/nav/div[1]/a/div/img","Navigation","HTML","","",""
